Name,Barcode,C. Code,Supplier,Product Type,Category,Sub Category,Aging,Target,final price,Final PUR,Status
F007702,F007702,23Q5,LA PARAH,PURSES,BAGS & WALLETS,WALLETS,24Q1,,249,51.99772368,2. Barcode Printed
F007763,F007763,23Q5,LA PARAH,PURSES,BAGS & WALLETS,WALLETS,24Q1,,349,113.4495789,2. Barcode Printed
F007764,F007764,23Q5,LA PARAH,KEY RINGS,FASHION ACCESSORIES,KEY RINGS,24Q1,ALL,199,34.90756275,2. Barcode Printed
F007765,F007765,23Q5,LA PARAH,KEY RINGS,FASHION ACCESSORIES,KEY RINGS,24Q1,ALL,149,32.72584008,2. Barcode Printed
F007766,F007766,23Q5,LA PARAH,TOWELS,HOME & LIVING,BATHROOM,24Q1,LADY,199,66.90616194,2. Barcode Printed
F007767,F007767,23Q5,LA PARAH,TOWELS,HOME & LIVING,BATHROOM,24Q1,LADY,649,158.9021346,2. Barcode Printed
F007768,F007768,23Q5,LA PARAH,TOWELS,HOME & LIVING,BATHROOM,24Q1,LADY,1449,376.3471609,2. Barcode Printed
F007769,F007769,23Q5,LA PARAH,TOWELS,HOME & LIVING,BATHROOM,24Q1,LADY,1149,292.7144585,2. Barcode Printed
F007770,F007770,23Q5,LA PARAH,TOWELS,HOME & LIVING,BATHROOM,24Q1,LADY,299,192.3552156,2. Barcode Printed
F007771,F007771,23Q5,LA PARAH,TOWELS,HOME & LIVING,BATHROOM,24Q1,LADY,1149,292.7144585,2. Barcode Printed
F007772,F007772,23Q5,LA PARAH,TOWELS,HOME & LIVING,BATHROOM,24Q1,LADY,649,158.9021346,2. Barcode Printed
F007773,F007773,23Q5,LA PARAH,SUNGLASSES,FASHION ACCESSORIES,SUNGLASSES,24Q1,KIDS,399,83.63270242,2. Barcode Printed
F007774,F007774,23Q5,LA PARAH,SUNGLASSES,FASHION ACCESSORIES,SUNGLASSES,24Q1,KIDS,399,98.17752023,2. Barcode Printed
F007775,F007775,23Q5,LA PARAH,SUNGLASSES,FASHION ACCESSORIES,SUNGLASSES,24Q1,KIDS,399,79.99649797,2. Barcode Printed
F007776,F007776,23Q5,LA PARAH,SUNGLASSES,FASHION ACCESSORIES,SUNGLASSES,24Q1,KIDS,399,76.36029351,2. Barcode Printed
F007777,F007777,23Q5,LA PARAH,SUNGLASSES,FASHION ACCESSORIES,SUNGLASSES,24Q1,KIDS,399,83.63270242,2. Barcode Printed
F007778,F007778,23Q5,LA PARAH,SUNGLASSES,FASHION ACCESSORIES,SUNGLASSES,24Q1,KIDS,399,87.26890687,2. Barcode Printed
F007779,F007779,23Q5,LA PARAH,SUNGLASSES,FASHION ACCESSORIES,SUNGLASSES,24Q1,LADY,699,130.9033603,2. Barcode Printed
F007780,F007780,23Q5,LA PARAH,SUNGLASSES,FASHION ACCESSORIES,SUNGLASSES,24Q1,LADY,799,141.8119737,2. Barcode Printed
F007781,F007781,23Q5,LA PARAH,SUNGLASSES,FASHION ACCESSORIES,SUNGLASSES,24Q1,LADY,699,79.99649797,2. Barcode Printed
F007782,F007782,23Q5,LA PARAH,SUNGLASSES,FASHION ACCESSORIES,SUNGLASSES,24Q1,LADY,549,94.54131578,2. Barcode Printed
F007783,F007783,23Q5,LA PARAH,SUNGLASSES,FASHION ACCESSORIES,SUNGLASSES,24Q1,LADY,599,109.0861336,2. Barcode Printed
F007784,F007784,23Q5,LA PARAH,SUNGLASSES,FASHION ACCESSORIES,SUNGLASSES,24Q1,LADY,799,181.8102227,2. Barcode Printed
F007785,F007785,23Q5,LA PARAH,SUNGLASSES,FASHION ACCESSORIES,SUNGLASSES,24Q1,LADY,399,116.3585425,2. Barcode Printed
F007786,F007786,23Q5,LA PARAH,SUNGLASSES,FASHION ACCESSORIES,SUNGLASSES,24Q1,LADY,549,152.720587,2. Barcode Printed
F007787,F007787,23Q5,LA PARAH,SUNGLASSES,FASHION ACCESSORIES,SUNGLASSES,24Q1,LADY,399,109.0861336,2. Barcode Printed
F007788,F007788,23Q5,LA PARAH,SUNGLASSES,FASHION ACCESSORIES,SUNGLASSES,24Q1,LADY,599,152.720587,2. Barcode Printed
F007789,F007789,23Q5,LA PARAH,SUNGLASSES,FASHION ACCESSORIES,SUNGLASSES,24Q1,LADY,599,109.0861336,2. Barcode Printed
F007790,F007790,23Q5,LA PARAH,SUNGLASSES,FASHION ACCESSORIES,SUNGLASSES,24Q1,LADY,1099,239.9894939,2. Barcode Printed
F007835,F007835,23Q5,LA PARAH,BOARD GAMES,TOYS,BOARD GAMES AND PUZZLES,24Q1,KIDS,799,203.6274494,2. Barcode Printed
F007836,F007836,23Q5,LA PARAH,BOARD GAMES,TOYS,BOARD GAMES AND PUZZLES,24Q1,KIDS,799,203.6274494,2. Barcode Printed
F007837,F007837,23Q5,LA PARAH,BOARD GAMES,TOYS,BOARD GAMES AND PUZZLES,24Q1,KIDS,799,203.6274494,2. Barcode Printed
F007838,F007838,23Q5,LA PARAH,BOARD GAMES,TOYS,BOARD GAMES AND PUZZLES,24Q1,KIDS,799,203.6274494,2. Barcode Printed
F007839,F007839,23Q5,LA PARAH,BOARD GAMES,TOYS,BOARD GAMES AND PUZZLES,24Q1,KIDS,799,203.6274494,2. Barcode Printed
F007840,F007840,23Q5,LA PARAH,BOARD GAMES,TOYS,BOARD GAMES AND PUZZLES,24Q1,KIDS,799,203.6274494,2. Barcode Printed
F007841,F007841,23Q5,LA PARAH,BOARD GAMES,TOYS,BOARD GAMES AND PUZZLES,24Q1,KIDS,799,218.1722672,2. Barcode Printed
F007842,F007842,23Q5,LA PARAH,BOARD GAMES,TOYS,BOARD GAMES AND PUZZLES,24Q1,KIDS,799,218.1722672,2. Barcode Printed
F008118,F008118,23Q5,LA PARAH,SNOWBALLS,HOME & LIVING,HOME DECOR,24Q1,,399,137.993959,2. Barcode Printed
F008120,F008120,23Q5,LA PARAH,SNOWBALLS,HOME & LIVING,HOME DECOR,24Q1,,449,154.7204995,2. Barcode Printed
F008121,F008121,23Q5,LA PARAH,SNOWBALLS,HOME & LIVING,HOME DECOR,24Q1,,549,175.6286751,2. Barcode Printed
F008395,1.0002E+12,23Q5,LA PARAH,SNOWBALLS,HOME & LIVING,HOME DECOR,24Q1,ALL,199,45.99798633,2. Barcode Printed
F008397,2.021E+12,23Q5,LA PARAH,SNOWBALLS,HOME & LIVING,HOME DECOR,24Q1,ALL,199,45.99798633,2. Barcode Printed
F008398,1.00012E+12,23Q5,LA PARAH,SNOWBALLS,HOME & LIVING,HOME DECOR,24Q1,ALL,199,45.99798633,2. Barcode Printed
F008406,1.0002E+12,23Q5,LA PARAH,SNOWBALLS,HOME & LIVING,HOME DECOR,24Q1,ALL,199,45.99798633,2. Barcode Printed
F008412,2.02301E+12,23Q5,LA PARAH,SNOWBALLS,HOME & LIVING,HOME DECOR,24Q1,ALL,249,62.72452682,2. Barcode Printed
F008127,F008127,23Q5,LA PARAH,,,,24Q1,LADY,4499,1371,2. Barcode Printed
F008400,6.97512E+12,23Q5,LA PARAH,SNOWBALLS,HOME & LIVING,HOME DECOR,24Q1,ALL,199,45.99798633,2. Barcode Printed
F008403,2.30211E+12,23Q5,LA PARAH,SNOWBALLS,HOME & LIVING,HOME DECOR,24Q1,ALL,199,45.99798633,2. Barcode Printed
F008408,2.01101E+12,23Q5,LA PARAH,SNOWBALLS,HOME & LIVING,HOME DECOR,24Q1,ALL,199,45.99798633,2. Barcode Printed
F008411,2.022E+12,23Q5,LA PARAH,SNOWBALLS,HOME & LIVING,HOME DECOR,24Q1,ALL,199,45.99798633,2. Barcode Printed
F008119,F008119,23Q5,LA PARAH,SNOWBALLS,HOME & LIVING,HOME DECOR,24Q1,ALL,449,154.7204995,2. Barcode Printed
F008129,6.97203E+12,23Q5,LA PARAH,WATER BOTTLES,HOME & LIVING,KITCHEN & DINING,24Q1,LADY,749,246.7164721,2. Barcode Printed
F008303,F008303,23Q5,LA PARAH,CUPS & MUGS,HOME & LIVING,KITCHEN & DINING,24Q1,KIDS,799,167.2654048,2. Barcode Printed
F008304,F008304,23Q5,LA PARAH,CUPS & MUGS,HOME & LIVING,KITCHEN & DINING,24Q1,KIDS,799,167.2654048,2. Barcode Printed
F008305,F008305,23Q5,LA PARAH,CUPS & MUGS,HOME & LIVING,KITCHEN & DINING,24Q1,KIDS,799,167.2654048,2. Barcode Printed
F008306,F008306,23Q5,LA PARAH,CUPS & MUGS,HOME & LIVING,KITCHEN & DINING,24Q1,KIDS,799,167.2654048,2. Barcode Printed
F008307,F008307,23Q5,LA PARAH,CUPS & MUGS,HOME & LIVING,KITCHEN & DINING,24Q1,KIDS,799,167.2654048,2. Barcode Printed
F008308,F008308,23Q5,LA PARAH,CUPS & MUGS,HOME & LIVING,KITCHEN & DINING,24Q1,KIDS,799,158.9021346,2. Barcode Printed
F008309,6.92575E+12,23Q5,LA PARAH,CUPS & MUGS,HOME & LIVING,KITCHEN & DINING,24Q1,KIDS,599,234.1715668,2. Barcode Printed
F008311,6.92797E+12,23Q5,LA PARAH,LUNCH BOXES,HOME & LIVING,KITCHEN & DINING,24Q1,KIDS,499,100.3592429,2. Barcode Printed
