"cancel";"Cancel"
"";""
"Customer";"Customer"
"del";"Del"
"not.found";"not found"
"name.description";"Name/Description"
"do.you.want.to.void.this.order";"Do you want to void this order ?"
"draft";"Draft"
"tel";"Tel"
"hardware.settings";"Hardware Settings"
"synchronize";"Synchronize"
"Status";"Status"
"popup.default.customer";"Default Customer:"
"please.enter.cash.amount.drawer";"Please enter the cash amount in the drawer."
"invalid.cheque.amt";"Invalid cheque amt"
"Signature is required!";"Signature is required!"
"change.terminal";"Change Terminal"
"subtotal";"Subtotal"
"ext.card.amount";"External Card Amount"
"choose.printer.mandatory";"Choose printer *"
"Failed to print receipt!";"Failed to print receipt!"
"popup.credit.limit";"Credit Limit:"
"check.card.balance";"Check Card Balance"
"click.synchronize.button.to.launch.synchronization.process";"Click the synchronize button to launch the synchronization process."
"deliver.products.now";"Do you want to deliver the products now??"
"role";"Role"
"popup.address";"Address:"
"allow.reseller.to.login";"Allow reseller to Login"
"issue.card";"Issue Card"
"posterita.supports.java.printing.star.epson";"Posterita currently supports ESC/POS, Star WebPRNT and Epson ePOS Printers"
"please.enter.a.valid.amount";"Please enter a valid amount!"
"popup.allow.discount";"Allow Discount On Total:"
"invalid.action";"Invalid Action"
"clock.in.out.report";"Clock In/Out Report"
"popup.external.card.amt";"External Card Amt:"
"popup.cheque.amt";"Cheque Amt:"
"card.no";"Card No"
"close";"Close"
"user.successfully.clocked.in.out";"User successfully clocked in/out."
"Describe your problem";"Describe your problem..."
"address";"Address"
"outstanding";"Outstanding"
"popup.swipe.card";"Swipe Card:"
"problem.description.is.required";"Problem description is required!"
"Amt Paid";"Amt Paid"
"Deliver goods?";"Deliver goods?"
"popup.client";"Client:"
"voucher.amount";"Voucher Amount"
"feature.not.available.in.offline.mode";"Feature not available in offline mode!"
"information";"Information"
"BootstrapDialog.Confirmation";"Confirmation"
"processing.please.wait";"Processing. Please wait..."
"popup.card.no";"Card No :"
"Email";"Email"
"popup.amount.tendered";"Amount Tendered:"
"discount.price.entered.exceeds.price.limit";"The Price Limit [{0}] has been exceeded by the Price Entered: {1}"
"voucher";"Voucher"
"amount.tendered.less";"Amount tendered is less"
"language";"Language"
"later";"Later"
"Processing, please wait";"Processing, please wait"
"business.partner.info";"Business Partner Info"
"female";"Female"
"export";"Export"
"info";"Info!"
"popup.user";"User:"
"find.a.sales.receipt";"Find a sales receipt"
"sales.history";"Sales History"
"check";"Check"
"reload.card";"Reload Card"
"time.out";"Time Out"
"immediate";"Immediate"
"your.request.was.successfully.sent";"Your request was successfully sent. We would contact you soon."
"Customer is required!";"Customer is required!"
"exchange";"Exchange"
"stock.hand";"Stock in Hand"
"popup.purchase.price.list";"Purchase Price List:"
"phone.no.mandatory";"Phone No *"
"points.earned";"Points Earned"
"opening.amt";"Opening Amt"
"Do you want to skip signature capture?";"Do you want to skip signature capture?"
"manually.enter.card.number";"Manually Enter Card Number"
"back";"Back"
"BootstrapDialog.Cancel";"Cancel"
"cash.tendered";"Cash Tendered"
"test.printer";"Test Printer"
"load";"Load"
"enter.comments";"Enter Comments"
"card.not.swiped";"Card not swiped!"
"points.remaining";"Points Remaining"
"on.credit";"On Credit"
"choose.printing.implementation.mandatory";"Choose printing implementation *"
"gift.card.details";"Gift Card Details"
"Grand Total";"Grand Total"
"popup.open.balance";"Open Balance:"
"enable.printing";"Enable printing"
"payment.processor.not.support.negative.sales";"The configured payment processor does not support negative sales transactions."
"order.not.found";"Order[{0}] not found!"
"cash.amount";"Cash Amount"
"popup.tel";"Tel:"
"normal.printer";"Normal Printer"
"home";"Home"
"payment.processor.support.sales";"The configured payment processor only supports sales transactions."
"popup.cash.amount";"Cash Amount:"
"print";"Print"
"popup.expiration";"Expiration(MMYY):"
"do.you.want.to.refund.this.order";"Do You Want to Refund This Order?"
"thank.you.for.shopping.see.you.soon";"Thank you for shopping. See you soon"
"date.ordered";"Date Ordered"
"username";"Username"
"gift";"Gift"
"sales.receipt";"Sales Receipt"
"option.required";"option is required!"
"Cash Refunded";"Cash Refunded"
"discount";"Discount"
"delivered";"Delivered"
"enter.quantity";"Enter Quantity"
"popup.cvv";"CVV:"
"Cash Tendered";"Cash Tendered"
"describe.your.problem";"Describe your Problem"
"reset.discount.confirmation";"This will reset all the discount given. Do you want to continue?"
"Sign above";"Sign above"
"order";"Order"
"issue";"Issue"
"loyalty";"Loyalty"
"popup.current.price";"Current Price:"
"Sales Rep";"Sales Rep"
"loading";"Loading ..."
"close.by";"Close By"
"request.support";"Request Support"
"view.transactions";"View Transactions"
"exit";"Exit"
"failed.closed.till";"Failed to close till!"
"clock.in.clock.out";"Clock in Clock out"
"grandtotal";"Grand Total"
"cleared.all.discounts";"Cleared all discounts."
"status";"Status"
"Discount";"Discount"
"Invalid Qty!";"Invalid Qty!"
"city";"City"
"BootstrapDialog.Warning";"Warning"
"document.no";"Document No"
"sold.by";"Sold by:"
"number.of.hours";"Number of hours"
"save";"Save"
